Ciudad,Descripcion,Precio,Superficie
Berlin,"Renting 2-room flat in Savignyplatz, Charlottenburg (one of the nicest area in Berlin) - Long term",1220,58
Berlin,spacious flat with artsy vibeztemporary // furnished// one person contract only // one year contract with possible extension,1200,82
Berlin,Schöne 2er WG am Maybach Ufer,1390,56
Hamburgo,W O H N U N G S T A U S C H,831,54
Hamburgo,"Moderne, voll ausgestattete 2-Zimmer-Wohnung",1423,59
Hamburgo,City Wohnung,1060,48
Hamburgo,City Dachwohnung,1060,48
Hamburgo,Zwischenmiete 130qm Neustadt nähe Musikhalle / Gänsemarkt,2100,130
Hamburgo,City Apartment mit 3 Schlafzimmern 130qm nahe Gänsemarkt (möbliert),2250,130
Hamburgo,Luxus Cityapartment-Zentrumsnah vollmöbliert,800,45
Hamburgo,Gemütliche 2-Zimmer-Wohnung in Eimsbüttel (für drei Monate befristet),960,47
Hamburgo,Wohnung (3 Monate befristest),700,60
Hamburgo,Möblierte Wohnung zur Zwischenmiete,1400,66
Hamburgo,Bitte lesen: Hauptmieter*in für Wohnung in Eimsbüttel gesucht,450,53
Hamburgo,"Helle, zentrale 3-Zi, EBK, Balkon, Altbauwohnung - TUHH",680,67
Hamburgo,schöne & zentrale Altbauwohnung in Ottensen auf Zeit nur JANUAR,1000,52
Hamburgo,Lichtdurchflutete Wohnung in Hoheluft zur Zwischenmiete Mitte Nov-Mitte Dez,950,46
Hamburgo,Zwei-Zimmer-Wohnung zur Zwischenmiete in der Schanze / Two-room apartment for temporary rental in Svhanze,700,32
Hamburgo,(Verfügbar 1-24 monate) - 2 Zimmer Apartment 2. OG,1100,49
Hamburgo,Citycenter Apartment/ Innenstadt Untermiete mit 2 Zimmer und große Küche mit Balkon frei ab jetzt,1150,47
Hamburgo,1 1/2 Zimmer Wohnung Tausch gegen WG-Zimmer,460,33
Hamburgo,SPACIOUS 2 ROOM APARTMENT IN OTHMARSCHEN (SUITABLE FOR COUPLES OR 1 PERSON),1070,60
Hamburgo,Ladys WG Zu Hause Mitten Drin,550,12
Hamburgo,2 Zi-Wohnung in Hamburg Barmbek möbliert zur Untermiete ab 01.12.,777,43
Hamburgo,ZWISCHENMIETE MÖBLIERT an der ALSTER 5 Zimmer 165qm,2000,165
Hamburgo,"Nachmieter für Schöne 2,5 Zimmer Wohnung in Eppendorf gesucht :)",985,58
Hamburgo,"Gemütliche 2-Zimmer Wohnung zentral in der Schanze zur Untermiete, voll möbliert",990,35
Hamburgo,"Zwischenmiete: Möblierte, helle 4-Zimmer Wohnung in Eimsbüttel für Paare, Einzelpersonen oder Berufspendler",1700,77
Hamburgo,Zwischenmiete Hamburg Eimsbüttel,850,65
Hamburgo,2 Minuten zur Bahn - möblierte wunderschöne 2 Zimmer,700,57
Hamburgo,3 Zimmerwohnung am alten Holzhafen mit Elbhafenblick Frei bis zum 31.03.2021,1350,71
Hamburgo,"Wunderschöne 2,5 Wohnung für 1 Monat verfügbar",1100,47
Hamburgo,"1,5-Zi.-Souterrain-Wohnung, hell und freundlich möbliert",595,37
Hamburgo,Wohnung / WG-Zimmer HH Altona / Sternschanze / St. Pauli,790,55
Hamburgo,120m² Exklusive Luxus Wohnung 2F-Haus Balkon FBH Hamburg Neugraben (Harburg) Fußbodenheizung,1450,120
Hamburgo,"1-Zimmer-Wohnung im EG, wunderschöne Lage am Jenischpark, nahe Airbus DESY, gute Anbindung; Neubau",800,22
Hamburgo,Tolle 48qm Wohnung zur Zwischenmiete in der Neustadt,641,48
Hamburgo,schöne 2 Zimmer Wohnung (44qm) mit Terrasse und Kaminofen / möbliert,850,44
Hamburgo,"Zwischenmiete in St Pauli, möbliert,  Neubau",420,60
Hamburgo,(Verfügbar 1-24 monate) - 2 Zimmer Apartment 2. OG,1100,49
Hamburgo,"Wunderschöne, möblierte Neubauwohnung in Hamburg (Eilbek)  zu vermieten (Warmmiete & „Rundum-Sorglos-Paket“ für 1250€), ab Mitte Nov 2021 - bis März 2022 oder länger",1250,67
Hamburgo,Schöne Zwei-Zimmer-Wohnung zur Zwischenmiete,30,38
Hamburgo,Gemütliche und super zentrale Altbau-Wohnung,900,32
Hamburgo,Wohnung in Eilbek zur Zwischenmiete 1.11..2021 bis 1.3.2021,850,50
Hamburgo,"2 Zimmer Wohnung im schönen Ottensen, Keine WG",850,55
Munich,Gehobenes 20qm in 100 qm Wohnung in Bestlage am Baldeplatz,650,20
Munich,4-Zimmer Wohnung (mögliche 3er WG) Näher Prinzregentenplatz & Rechts der Isar Klinikum,2650,102
Munich,"Schönes 2,5-Zimmer-Wohnung in Schwabing",600,57
Munich,"Möblierte 1,5 Zimmer Wohnung mit Balkon direkt zur Isar",1290,44
Munich,"5 Zimmer in 5er WG, 6 Zi. mit ca. 150 qm, Besichtigung am Donnerstag, 28.10.2021 um 20 Uhr",3200,150
Munich,Hübsche individuelle Einsteigerwohnng Nähe Isar,1500,55
Munich,Neubau! Leben an den Isar inmitten der Stadt! Möblierte Wohnung mit Südloggia!,1650,42
Munich,"2,5-Wohnung mit Balkon/ Isarvorstadt / Teilmöbliert",1580,63
Munich,Gemütliches Einzelzimmer in Obermenzing,585,14
Munich,Erstbezug komplett möbliertes Apartment für 1-2 Studenten oder Azubis,1080,25
Munich,"Schöne, zentrale und ruhige 2 Zimmer-Whg. zur Untermiete in Neuhausen/Nymphenburg",1430,58
Munich,Top ausgestattete Wohnung möbliert mit Garten und Terrasse. Inkl. CrossFit Gym Mitgliedschaft,1300,45
Munich,"3 Zimmer Wohnung Voll Möbliert 100m S3 Bahnhaltestelle,13 Minuten Marienplatz entfernt",1940,74
Munich,Tausche Geräumige 3-Zimmer-Wohnung mit Balkon in Top Lage in Sendling gegen mind. 2-Zimmer-Wohnung im Westen von MUC max. 900€ warm,1285,72
Munich,"NICHT MÖBLIERT unbefristet, ab sofort: Wohnung Westendstr 858 Euro warm (Strom, Heizung, Wasser, Kabelanschluss enthalten)",1060,45
Munich,2 Zi  Souterrainwng U4 Bömerwaldplatz an Gerewebe/ Handwerker/ Baufirmen/ bis zu 3 Personen/ für 2 Jahre/ ab sofort,1260,36
Munich,Möblierte 2-Zimmer-Wohnung in der Altstadt zur Zwischenmiete,1500,60
Munich,"Furnished, cozy 35m2 flat for November",950,36
Munich,"Befristet bis 21.11 - LIMITED RENT UNTIL 21 of November ONLY ; 1,5 Zimmer Wohnung Schwabing 30 qm",650,30
Munich,"Zentrale, moderne Wohnung mit Sonnenbalkon",1611,75
Munich,Schöne 2 Zi-Whg. mit Süd-Balkon sucht nette Untermieter! AB 01.JANUAR 2022 bis max. 30.JUNI.2022 UNTERHACHING BEI MÜNCHEN,1200,50
Munich,"Freundliche, komplett möblierte 2-Zi DG-Wohnung (1. OG) in kleinem Mehrfamilienhaus mit französischem Balkon in GRÄFELFING bei München mit gestaffelter Miete: ACHTUNG:  BITTE  BEACHTEN SIE DIE  ZUGEHÖRIGEN, GESTAFFELTEN  MIETPREISE  (SIEHE SONSTIGES)",1040,55
Munich,Traumhafte 2er WG im Herzen von Haidhausen für 2 Wochen zu vermieten,1000,84
Munich,"Dream Apartment for 16 days, 3 Rooms with Balcony, very central close to Isar (only short term)",960,65
Munich,"Dream Apartment for 25 days, 3 Rooms with Balcony, very central close to Isar (only short term) nur Zwischenmiete",1098,65
Munich,Gemütliche und zentrumsnahe Wohnung in Untersendling zur Zwischenmiete,1300,53
Munich,Wunderschöne Altbauwohnung in Haidhausen,1300,63
Munich,Beste Zentral Lage: Direkt bei Odeonsplatz 3 Zimmer Wohnung ca.90qm. Komplett neu renoviert - Ruhig - Sonnig - Wohnküche,2500,90
Munich,2-Zi Wohnung in Pasing zur Untermiete,1100,56
Munich,Möblierte 3 Zimmer Wohnung in der Au zur Zwischenmiete,2200,83
Munich,"Hochparterre 2,5 Zimmer Wohnung am Bonner Platz",1520,67
Munich,Möblierte 2 Zimmer Wohnung (79qm) mit 2 Balkonen vom 01.02.2022 - 25.04.2022 zu vermieten,1300,79
Munich,"ab 1.1.22 Wohnung Innenstadtlage, all inkl - einziehen, wohlfühlen wie daheim - 10 min zu Fuß in die Innenstadt",1000,59
Munich,Helle charmante Wohnung im Herzen von München,2300,75
Munich,3 Zimmer Wohnung zur Untermiete ab 1.01.2022 bis 15.03.2022,1350,75
Munich,2 Zimmer Wohnung an eine Person zu vermieten,1050,31
Munich,4 - Zimmer Wohnung München mit Balkon und EBK - Neubau -,1910,94
Munich,"Bis Sommer 2022 kinderfreundliche, möblierte  3-Zimmer-Wohnung in München AU-Haidausen zu vermieten",1600,84
Munich,Wunderschöne 60qm Altbauwohnung in Nymphenburg zur Untermiete ab November oder Dezember bis Ende des Jahres,1190,60
Munich,"Moderne 3,5 Zi.-Wohnung m. Balkon - möbliert - 20 Min.zur City München",1950,76
Colonia,City Apartements,850,25
Colonia,70 qm-Wohnung zur befristeten Übernahme,780,70
Colonia,Luxuswohnung in bester Lage zur Zwischenmiete,1100,45
Colonia,Wunderschöne 3 Zimmer Gartenwohnung Köln West KEINE WG möglich!,922,76
Colonia,"Über den Dächern von Mülheim - schöne, zentrale 2-Zimmer-Wohnung mit optimaler Verkehrsanbindung",799,44
Colonia,Tausch - 2-Zimmer-Wohnung,650,60
Colonia,"2-Zimmerwohnung mit Wanne und Fenster,            KEINE WOHNGEMEINSCHAFT        normale, gut geschnittene Wohnung",818,50
Colonia,BEFRISTETE!! Unmöblierte Wohnung mit Einbauküche zur Zwischenmiete,700,44
Colonia,GANZE WOHNUNG * DOM BLICK * BELGISCHES VIERTEL,1190,70
Colonia,Zwischenmiete 2 Zimmer Wohnung,780,53
Colonia,"(Verfügbar 1-24 monate) - Zentrales Appartement, inkl. Stellplatz, Garten",1198,45
Colonia,Home office | Helle moderne 2 Zimmer EG Wohnung mit Garten,1000,50
Colonia,"Gemütliche,  2-Zimmerwohnung mit Terrasse in Köln-Lindenthal",1350,55
Colonia,Untervermietung 2ZWhng Agnesviertel,800,42
Colonia,Tolle Wohnung im Herzen von Köln-Mülheim,680,60
Colonia,"Für Pendler! 1,5-Zimmerwohnung an zuverlässige Berufspendler*in",600,50
Colonia,Studenten aufgepasst - Neugründung einer 2-er WG im Grünen,1148,60
Colonia,Gemütliche 2-Zimmer Wohnung mit Garten,835,55
Colonia,Exklusive neuwertige 2ZKB Whg mit Balkon und EBK zu vermieten,1080,45
Colonia,2 Zimmer Wohnung auch als WG nutzbar,800,65
Colonia,"[08] WG tauglich, Rheinblick, Inklusiv Miete, ca 125m² Fläche, möbliert.",1200,88
Colonia,"[01] möbliert, ab sofort, Apartment, Rheinlage, 1 Zimmer + seperater Küche, Inklusivmiete.",680,35
Colonia,Wohnung zur Zwischenmiete,630,43
Colonia,Tausche Altstadt Maisonette mit Domblick gegen wg zimmer :),830,55
Colonia,"Köln-Mülheim Altbauwohnung 2 Zimmer Küche Diele Bad 50 m² für 420,- €",500,50
Colonia,52m2 2 Zimmer Wohnung im Kölner Süden,600,52
Colonia,4 Zi & 2 Bäder im Grünen auf schönen 110 m²,1417,110
Colonia,"Schöne, möblierte 1,5 Zimmerwohnung zu vermieten",693,35
Colonia,Ruhiges 2-Zimmer-Wohnung in Lindenthal mit kleiner Terrassenutzung,1250,67
Colonia,super zentrale Dom + Hbf nahe Zwischenmiete,990,50
Colonia,super zentrale Dom + Hbf nahe Zwischenmiete,990,50
Colonia,Zwischenmiete - Altbauwohnung im Belgischen Viertel,1300,68
Colonia,Zwischenmiete für ein Jahr ab Januar 2022: 3-Zimmer Wohnung Innenstadt Köln,1360,87
Colonia,Schöne 3 Zimmer-Dachgeschosswohnung (60 qm) in Köln-Lindenthal zur Zwischenmiete,1000,60
Colonia,Schöne Wohnung im Herzen Ehrenfelds zur Zwischenmiete,560,32
Colonia,Wohnung für den Nov.,600,60
Colonia,"Hochwertiges, Schönes, helles und ruhiges Top Appartment",1034,50
Colonia,Zwischenmiete: Traumhafte Wohnung am Rathenauplatz,2000,95
Colonia,57qm große 2 Zimmer-Wohnung ( NUR VON 04.12.2021 BIS 04.02.2022),1000,57
Colonia,TAUSCH Zentrale 43 qm Wohnung gegen Wgh. mit Balkon,660,43
Colonia,TAUSCH: 2ZKDB Wohnung bei Poller Wiesen gg zentrale Wohnung linksrheinisch,650,50
Colonia,Tolle 78qm Wohnung in Neuehrenfeld,1136,78
Frankfurt,"Schöne 2er WG mit Wohnzimmer, hohe Decken, Altbau,  möbliert, hell und ruhig gelegen, nahe der U-Bahn / U5 / Ab sofort Frei!",1300,63
Frankfurt,"helle, elegante, teilmöblierte Altbauwohnung in Bockenheim",1030,53
Frankfurt,helle Altbauwohnung in Bockenheim möbliert,1120,53
Frankfurt,1-Zimmer-Dachgeschosswohnung mit Skyline Blick im Herzen von Frankfurt,896,33
Frankfurt,Ab sofort - schick möblierte 2-Zimmerwohnung - im Bankenviertel,1300,50
Frankfurt,Ab Januar 2022 - modernes 1-Zimmer-Apartment inkl. Einbauküche - zentrale Lage direkt am Zoo,850,30
Frankfurt,"Möblierte 2-Zimmer-Wohnung in Frankfurt, Berkersheim",880,44
Frankfurt,"Zwischenmiete: Kleine, feine 2-Zimmer-Wohnung in Sachsenhausen",900,47
Frankfurt,"2-Zimmer Wohnung, möbiliert, mit Balkon zur Untermiete im November im Frankfurter Ostend, Nähe EZB",1000,40
Frankfurt,"Super möblierte,helle und großzügige 2 Zimmer Wohnung mit Klimaanlage in Frankfurt am Main",1130,67
Frankfurt,Schönes Apartment in zentraler Lage,995,20
Frankfurt,3 rooms with good price and location.,765,51
Frankfurt,3 Rooms with good price and location,765,60
Frankfurt,Schick möblierte Wohnung in exklusiver Lage am Lerchesberg,1590,74
Frankfurt,Cozy 2-room apartment in great location,1230,50
Frankfurt,Helle 3 Zi. Wohnung Umgebaute Mühle,1000,90
Frankfurt,Für Studierende - dein voll möbliertes Apartment zur ALL-IN Miete!,599,21
Frankfurt,"helle, gut geschnittene 3 Zimmer Whg",1150,74
Frankfurt,1 Monat MIETFREI!* Apartment in Frankfurt Riedberg zur ALL-IN Miete + Fitness/TV/Learning Lounge on TOP,719,24
Frankfurt,1 Monat MIETFREI!* Voll möbliertes Apartment zur ALL-IN Miete in Frankurt Riedberg,625,21
Frankfurt,1 Monat MIETFREI!* Möblierte Apartments in Frankfurt Riedberg - ALL-IN Miete + Fitness/TV/Learning Lounge,769,31
Frankfurt,"***Renovierte 2-Zimmer-Wohnung, WG tauglich***",870,62
Frankfurt,Möblierte Apartments  1-Zimmer Wohnungen,640,31
Frankfurt,Neu-Isenburg 2 Zimmerwohnung,750,55
Frankfurt,Nordend WOHNUNG TAUSCHANGEBOT,1130,75
Frankfurt,Stilvolle & großzügige Altbauwohnung im Herzen von Frankfurt,1550,70
Frankfurt,Gemütliches Apartment in ruhiger Lage,995,25
Frankfurt,Bornheim Mitte: 75 m2 Wohnung zu untermieten,850,75
Frankfurt,Helle 2-Zimmerwohnung im Nordend zur Zwischenmiete,1000,60
Frankfurt,"Living in Grand Tower, Germany's tallest residential tower",1240,41
Frankfurt,"2-Zimmer *möbeliert*  60m in  Sachsenhausen PLZ 60596 ruhiger ,zentral gelegen",1380,60
Frankfurt,TOLLE MÖBLIERTE WOHNUNG IN ZENTRALER LAGE AN WOCHENENDHEIMFAHRER,450,50
Frankfurt,Tolle moderne Wohnung in Bestlage Westend-Nord zur Untermiete ab Mitte Nov/Dez bis Ende Feb/März,1300,60
Frankfurt,Möblierte nette 2-Zi-Wohnung auf Zeit,820,45
Frankfurt,super wohlfühl-wg-apartment 1 - 2 personen,515,60
Frankfurt,3 Zimmer Wohnung ab 01.12.21,1180,60
Frankfurt,"Schöne, helle 3 ZW in Frankfurt Praunheim",1100,73
Frankfurt,Vollmöbl. 2 Zi Wohng. Balkon Sachsenhausen Südbhf Untermiete,1040,56
Frankfurt,"FFM-Süd Stadtgrenze: Tipptopp, 75 qm, herrliche 2 ZKBB, 1. OG",900,75
Frankfurt,"Wohnung mit Gartenblick im Zentrum (möbliert, renoviert); utility bills/fast WiFi included in rent",1250,55
Frankfurt,2 Zimmer Wohnung,1190,60
Frankfurt,Gepflegt. möbl. 3-ZW Frankfurt Bornheim,920,76
